RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
1,2,9,29,1,1,2,4,1,29,1,16821
9,2,2,31,1,1,2,3,68,39,1,22488
1,1,4,49,1,1,2,8,1,49,1,29736
1,1,3,22,1,1,1,7,1,22,1,13055
8,2,1,42,1,1,2,2,67,36,1,24454
9,1,9,72,2,1,2,0,68,72,2,32530
2,1,3,48,1,1,2,7,2,6,1,29290
2,1,3,13,1,1,2,5,2,24,1,8812
1,1,1,36,1,1,1,2,1,36,1,20222
9,2,4,6,1,1,2,9,68,6,1,2757
2,1,2,39,1,1,2,3,2,36,1,23491
1,2,4,35,1,1,2,8,1,35,1,19078
1,1,4,6,1,1,2,9,1,6,1,5322
1,1,2,18,1,1,2,3,1,18,1,11698
9,2,3,45,1,1,2,5,68,15,1,26184
1,1,2,39,1,1,2,3,1,39,1,22922
1,1,3,48,1,1,2,7,1,48,1,29111
1,2,3,21,1,1,2,6,1,21,1,12634
1,1,1,42,1,1,2,2,1,42,1,25396
1,1,1,34,1,1,2,2,1,13,1,18172
1,2,3,48,1,1,2,7,1,48,1,27279
9,2,3,48,1,1,2,7,68,48,1,28439
2,2,3,13,1,1,1,5,2,12,1,9256
1,1,4,16,1,1,2,8,1,31,1,9720
1,1,3,12,1,1,1,5,1,55,1,6868
2,2,3,12,1,1,2,5,2,20,1,7330
9,2,2,27,1,1,2,4,68,27,1,16237
1,2,2,29,1,1,2,4,1,5,1,16725
9,1,4,53,2,1,2,9,68,66,2,30935
1,1,2,18,1,1,2,3,1,18,1,11777
2,1,4,6,1,1,1,9,2,6,1,1698
1,1,1,42,1,1,2,2,1,42,1,25149
1,1,4,6,1,1,1,9,1,6,1,3396
1,2,1,25,1,1,2,1,1,25,1,14149
1,1,3,21,1,1,2,6,1,21,1,12516
9,2,9,27,1,1,1,4,68,6,1,16324
1,1,3,5,1,1,2,7,1,5,1,1545
1,1,4,6,1,1,2,9,1,6,1,2864
1,2,2,17,1,1,2,3,1,17,1,10744
1,1,3,12,1,1,2,5,1,12,1,7219
9,2,3,48,1,1,2,7,68,48,1,27185
1,2,3,12,1,1,1,5,1,45,1,6919
1,1,2,39,1,1,2,3,1,39,1,23316
1,1,2,26,1,1,2,3,1,18,1,15042
9,1,2,47,1,1,2,8,68,12,1,26443
2,2,3,13,1,1,2,5,2,13,1,9174
8,2,2,18,1,1,2,3,67,18,1,11537
2,1,3,13,1,1,2,6,2,47,1,26758
1,1,2,19,1,1,2,4,1,19,1,12116
1,2,1,36,1,1,2,2,1,36,1,20911
1,2,2,26,1,1,2,3,1,26,1,15591
9,1,4,8,1,1,1,8,68,6,1,5609
1,2,4,32,1,1,2,8,1,40,1,17630
1,2,1,18,1,1,2,3,1,48,1,11534
2,2,1,36,3,1,2,8,2,333,3,20045
1,2,2,29,1,1,2,4,1,29,1,17072
2,2,3,37,1,1,1,5,2,40,1,21339
1,1,3,12,1,1,1,5,1,48,1,8043
2,2,4,6,1,1,2,9,2,6,1,2222
1,2,2,20,1,1,1,4,1,29,1,12314
2,2,4,37,1,1,2,5,2,29,1,26176
1,2,3,12,1,1,2,5,1,12,1,7729
1,1,1,25,1,1,2,1,1,42,1,14480
2,2,2,26,1,1,1,3,2,26,1,14836
2,1,3,48,1,1,2,7,2,51,1,28793
1,2,2,29,1,1,2,4,1,29,1,16991
9,2,4,54,1,1,2,8,68,16,1,9713
9,1,1,36,1,1,2,2,68,36,1,20005
1,1,4,16,1,1,1,8,1,16,1,9747
1,2,3,45,1,1,2,5,1,20,1,26036
1,2,4,49,1,1,2,8,1,16,1,29959
1,2,3,48,1,1,2,7,1,48,1,28015
1,1,1,42,1,1,2,2,1,42,1,25504
1,2,2,29,1,1,2,4,1,29,1,16933
1,1,4,53,1,1,2,9,1,53,1,31503
9,1,3,5,1,1,2,7,68,5,1,1606
1,2,3,22,1,1,2,7,1,22,1,13335
1,2,2,26,1,1,2,3,1,26,1,15727
1,2,1,42,1,1,2,2,1,36,1,24872
1,1,2,18,1,1,2,3,1,18,1,11680
1,2,4,4,1,1,1,8,1,6,1,1192
6,2,1,51,1,1,2,5,38,51,1,30804
8,1,1,53,1,1,2,9,67,53,1,31432
9,2,1,34,2,1,2,2,68,72,2,18064
9,2,2,44,1,1,2,3,68,5,1,31990
9,2,1,36,1,1,2,2,68,36,1,19591
1,2,3,17,1,1,2,3,1,17,1,10168
1,2,3,47,1,1,2,6,1,21,1,26435
9,1,4,4,1,1,2,5,68,4,1,1201
9,2,4,53,1,1,2,9,68,53,1,31448
1,2,1,36,1,1,2,2,1,36,1,19267
1,1,4,53,1,1,2,9,1,6,1,31183
1,2,3,21,1,1,2,6,1,42,1,12591
1,2,1,42,1,1,2,3,1,42,1,24576
1,2,2,17,1,1,2,3,1,17,1,11144
1,1,2,29,1,1,2,4,1,6,1,16907
1,2,4,41,1,1,2,9,1,41,1,24106
8,2,4,53,1,1,2,9,67,53,1,31319
1,1,2,39,1,1,2,3,1,39,1,22901
1,2,2,46,1,1,2,8,1,46,1,26314
1,2,1,34,1,1,2,2,1,34,1,18085
1,1,3,48,1,1,2,7,1,48,1,29008
